Municipio;Score
Abreu e Lima;2.72
Afogados da Ingazeira;3.5
Afrânio;3.71
Agrestina;3.32
Água Preta;3.53
Águas Belas;3.72
Alagoinha;3.96
Aliança;3.04
Altinho;1.74
Amaraji;3.89
Angelim;2.89
Araçoiaba;3.12
Araripina;3.91
Arcoverde;0.68
Barra de Guabiraba;3.88
Barreiros;2.77
Belém de Maria;3.69
Belém de São Francisco;3.48
Belo Jardim;2.05
Betânia;2.82
Bezerros;1.57
Bodocó;3.26
Bom Conselho;1.45
Bom Jardim;3.47
Bonito;3.21
Brejão;4.77
Brejinho;1.69
Brejo da Madre de Deus;4.41
Buenos Aires;1.65
Buíque;2.45
Cabo de Santo Agostinho;2.68
Cabrobó;2.29
Cachoeirinha;1.68
Caetés;3.15
Calçado;4.63
Calumbi;4.4
Camaragibe;4.2
Camocim de São Félix;3.18
Camutanga;0.73
Canhotinho;3.61
Capoeiras;3.43
Carnaíba;3.69
Carnaubeira da Penha;3.72
Carpina;1.06
Caruaru;2.19
Casinhas;3.41
Catende;3.93
Cedro;3.23
Chã de Alegria;2.81
Chã Grande;5.08
Condado;4.09
Correntes;2.03
Cortês;3.42
Cumaru;3.48
Cupira;3.89
Custódia;3.56
Dormentes;4.59
Escada;2.21
Exu;4.36
Feira Nova;3.22
Ferreiros;3.85
Flores;2.79
Floresta;4.0
Frei Miguelinho;3.68
Gameleira;4.43
Garanhuns;2.12
Glória do Goitá;3.07
Goiana;2.53
Granito;2.65
Gravatá;3.82
Iati;4.57
Ibimirim;2.84
Ibirajuba;4.55
Igarassu;3.16
Iguaracy;2.84
Ilha de Itamaracá;3.86
Inajá;3.47
Ingazeira;2.18
Ipojuca;3.52
Ipubi;4.1
Itacuruba;4.39
Itaíba;2.74
Itambé;2.95
Itapetim;0.62
Itapissuma;2.04
Itaquitinga;3.45
Jaboatão dos Guararapes;0.91
Jaqueira;1.32
Jataúba;3.66
Jatobá;1.93
João Alfredo;3.15
Joaquim Nabuco;3.38
Jucati;4.01
Jupi;3.28
Jurema;4.5
Lagoa de Itaenga;3.16
Lagoa do Carro;0.23
Lagoa do Ouro;3.17
Lagoa dos Gatos;3.35
Lagoa Grande;3.87
Lajedo;3.68
Limoeiro;3.65
Macaparana;4.57
Machados;3.35
Manari;4.05
Maraial;3.4
Mirandiba;4.2
Moreilândia;4.1
Moreno;3.16
Nazaré da Mata;3.14
Olinda;0.92
Orobó;2.61
Orocó;4.22
Ouricuri;3.5
Palmares;4.35
Palmeirina;2.94
Panelas;4.21
Paranatama;5.3
Parnamirim;3.45
Passira;3.43
Paudalho;2.95
Paulista;3.43
Pedra;3.5
Pesqueira;1.51
Petrolândia;2.96
Petrolina;3.84
Poção;4.37
Pombos;3.32
Primavera;4.31
Quixaba;3.91
Riacho das Almas;4.41
Ribeirão;3.39
Rio Formoso;0.57
Sairé;3.84
Salgadinho;3.42
Salgueiro;3.85
Saloá;3.33
Sanharó;3.19
Santa Cruz;2.16
Santa Cruz da Baixa Verde;4.32
Santa Cruz do Capibaribe;1.88
Santa Filomena;2.68
Santa Maria da Boa Vista;3.95
Santa Maria do Cambucá;1.28
Santa Terezinha;3.77
São Benedito do Sul;3.06
São Bento do Una;3.25
São Caetano;3.59
São João;3.55
São Joaquim do Monte;4.85
São José da Coroa Grande;2.29
São José do Belmonte;2.24
São José do Egito;3.24
São Lourenço da Mata;0.9
São Vicente Ferrer;0.98
Serra Talhada;4.35
Serrita;3.95
Sertânia;2.2
Sirinhaém;1.26
Solidão;1.35
Surubim;3.14
Tabira;0.83
Tacaimbó;2.84
Tacaratu;3.48
Tamandaré;2.24
Taquaritinga do Norte;3.92
Terezinha;3.67
Terra Nova;3.59
Timbaúba;2.41
Toritama;3.09
Tracunhaém;4.03
Trindade;3.99
Triunfo;4.02
Tupanatinga;0.68
Tuparetama;4.87
Venturosa;0.61
Verdejante;3.92
Vertente do Lério;4.11
Vertentes;3.59
Vicência;0.83
Vitória de Santo Antão;3.51
Xexéu;6.24
